nombretitulo,institucion,niveltitulo
MEDICO ESPECIALISTA EN REUMATOLOGIA,UNIVERSIDAD DE BUENOS AIRES,CUARTO NIVEL
MAGISTER EN SALUD PUBLICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
ESPECIALISTA EN MEDICINA INTERNA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION DE UNIDADES DE ENFERMERIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
LICENCIADO EN MICROBIOLOGIA,UNIVERSIDAD DE LA HABANA,TERCER NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
OBSTETRA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MEDICA CIRUJANA,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
LICENCIADO EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
MAGISTER EN GESTION DEL CUIDADO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
QUIMICO Y FARMACEUTICO ,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MASTER EN NUTRICION EN SALUD PUBLICA,INSTITUTO SUPERIOR DE CIENCIAS MEDICAS DE LA HABANA,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN GESTION DEL CUIDADO MENCION EN UNIDADES DE EMERGENCIAS Y UNIDADES DE CUIDADOS INTENSIVOS,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
PSICOLOGA MENCION PSICOLOGIA CLINICA,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
PSICOLOGA MENCION PSICOLOGIA CLINICA,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MEDICO CIRUJANO PLASTICO,PEOPLES FRIENDSHIP UNIVERSITY OF RUSSIA,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
LICENCIADA EN FISIOTERAPIA,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN TERAPIA DE LENGUAJE,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
MEDICO,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,TERCER NIVEL
ESPECIALIZACAO EM DENTISTICA,FACULDADE DO CENTRO OESTE PAULISTA FACOP,CUARTO NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN ANESTESIOLOGIA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,CUARTO NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
TECNOLOGO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO ADVENTISTA DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN SALUD OCUPACIONAL,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN RADIOLOGIA E IMAGENOLOGIA,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
MAGISTER EN GESTION DEL CUIDADO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,CUARTO NIVEL
ESPECIALISTA EN REHABILITACION ORAL,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
MASTER UNIVERSITARIO EN GESTION DE LA SEGURIDAD CLINICA DEL PACIENTE Y CALIDAD DE LA  ATENCION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MAGISTER EN GESTION DEL CUIDADO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,CUARTO NIVEL
MAGISTER EN GESTION DEL CUIDADO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MEDICO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
ESPECIALISTA EN RADIOTERAPIA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN GESTION DEL CUIDADO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN MEDICINA CRITICA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA MENCION PSICOLOGIA CLINICA,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA ONCOLOGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
DOCTORA EN CIENCIAS DE LA SALUD,UNIVERSIDAD DEL ZULIA,CUARTO NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALISTA EN AUDIOLOGIA,ESCUELA COLOMBIANA DE REHABILITACIÓN,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
MEDICO CIRUJANO,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
MAGISTER EN BIOQUIMICA CLINICA E INMUNOLOGIA,UNIVERSIDAD DE CONCEPCIÓN,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN INVESTIGACION CLINICA Y EPIDEMIOLOGICA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
MAGISTER EN GESTION DEL CUIDADO MENCION EN UNIDADES DE EMERGENCIAS Y UNIDADES DE CUIDADOS INTENSIVOS,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN BIOMEDICINA MENCION EN PRUEBAS ESPECIALES Y DIAGNOSTICO BIOMEDICO,UNIVERSIDAD TECNICA DE MANABI,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MEDICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
MASTER UNIVERSITARIO EN INTERVENCION PSICOLOGICA EN NIÑOS Y ADOLESCENTES,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN TERAPIA OCUPACIONAL,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
LICENCIADO/A EN FONOAUDIOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN SALUD PUBLICA MENCION EN ATENCION INTEGRAL EN URGENCIAS Y EMERGENCIAS,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN LABORATORIO CLINICO,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
LICENCIADO/A EN NUTRICION Y DIETETICA,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
MAGISTER SCIENTIARUM EN BIOLOGIA MENCION INMUNOLOGIA BASICA,UNIVERSIDAD DEL ZULIA,CUARTO NIVEL
TECNOLOGO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO ADVENTISTA DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN GINECOLOGIA Y OBSTETRICIA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
ALTA ESPECIALIDAD EN CIRUGIA ONCOLOGICA DE LA MAMA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,CUARTO NIVEL
MAGISTER EN GERENCIA DE INSTITUCIONES DE SALUD,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN GERIATRIA Y GERONTOLOGIA ,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN OPTOMETRIA,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
PSICOLOGA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
TECNICO SUPERIOR EN RADIOLOGIA E IMAGENOLOGIA,UNIVERSIDAD CENTRAL DE VENEZUELA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
PSICOLOGO CLINICO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
ESPECIALISTA DE: PRIMER GRADO EN NEUMOLOGIA,UNIVERSIDAD DE CIENCIAS MÉDICAS DE LA HABANA,CUARTO NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION DE UNIDADES DE ENFERMERIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MEDICA CIRUJANA,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MASTER UNIVERSITARIO EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MEDICO,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,TERCER NIVEL
ESPECIALISTA DE PRIMER GRADO EN  NEUROLOGIA,UNIVERSIDAD DE CIENCIAS MÉDICAS DE LA HABANA,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MEDICO ESPECIALISTA EN NEFROLOGIA Y MEDIO INTERNO,UNIVERSIDAD DE BUENOS AIRES,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
LICENCIADA EN NUTRICION HUMANA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
ESPECIALISTA DE PRIMER GRADO EN MEDICINA GENERAL INTEGRAL,ESCUELA LATINOAMERICANA DE MEDICINA,CUARTO NIVEL
MAGISTER EN NUTRICION Y DIETETICA MENCION EN NUTRICION COMUNITARIA,UNIVERSIDAD ESTATAL DE MILAGRO,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
MEDICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ESPECIALISTA EN CIRUGIA GENERAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
LICENCIADA EN TERAPIA RESPIRATORIA,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
ESPECIALIZACION EN PROTESIS DENTAL,CENTRO UNIVERSITARIO DO NORTE PAULISTA,CUARTO NIVEL
MEDICO CIRUJANO,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA DE CUIDADOS CRITICOS,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,CUARTO NIVEL
ESPECIALIZACION EN ENDODONCIA,UNINGA - CENTRO UNIVERSITARIO INGA,CUARTO NIVEL
QUIMICO Y FARMACEUTICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
DOCTORA EN MEDICINA,ESCUELA LATINOAMERICANA DE MEDICINA,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
ESPECIALIZACAO EM DENTISTICA RESTAURADORA,FACULTADE INGÁ,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MEDICO ESPECIALISTA EN DERMATOVENEREOLOGIA,PRIVOLZHSKY RESEARCH MEDICAL UNIVERSITY,CUARTO NIVEL
MASTER UNIVERSITARIO EN GESTION DE LA SEGURIDAD CLINICA DEL PACIENTE Y CALIDAD DE LA  ATENCION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
LICENCIADA EN TERAPIA RESPIRATORIA,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
DIPLOMA SUPERIOR EN GESTION DE DESARROLLO DE LOS SERVICIOS DE SALUD,UNIVERSIDAD TECNICA DE BABAHOYO,CUARTO NIVEL
MAGISTER EN GERENCIA DE INSTITUCIONES DE SALUD,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN MICROBIOLOGIA,UNIVERSIDAD SAN FRANCISCO DE QUITO,CUARTO NIVEL
MAGISTER EN GERENCIA DE SERVICIOS DE SALUD,UNIVERSIDAD TECNICA DE BABAHOYO,CUARTO NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA DE CUIDADOS CRITICOS,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DEL PACIFICO ESCUELA DE NEGOCIOS,CUARTO NIVEL
TECNICO SUPERIOR DE ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN ENFERMERIA,UNIVERSIDAD ESTATAL PENINSULA DE SANTA ELENA,TERCER NIVEL
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
LICENCIADA EN RADIOLOGIA E IMAGENOLOGIA,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
LICENCIADO/A EN NUTRICION Y DIETETICA,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,TERCER NIVEL
MAGISTER EN GERENCIA DE INSTITUCIONES DE SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
LICENCIADO EN ENFERMERIA,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA DE CUIDADOS CRITICOS,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
ESPECIALISTA EN ATENCION PRIMARIA DE LA SALUD,UNIVERSIDAD ESTATAL DE BOLIVAR,CUARTO NIVEL
ODONTOLOGO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALISTA EN ADMINISTRACION HOSPITALARIA,UNIVERSIDAD ISALUD,CUARTO NIVEL
LICENCIADA EN TERAPIA RESPIRATORIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
PSICOLOGO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
PSICOLOGO,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
CIRUJANO DENTISTA,UNIVERSIDAD DE SAN MARTÍN DE PORRES,TERCER NIVEL
PSICOLOGA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MEDICO DERMATOVENEREOLOGO,PEOPLES FRIENDSHIP UNIVERSITY OF RUSSIA,CUARTO NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MEDICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
